PERMNO,date,NCUSIP,TICKER,COMNAM,TSYMBOL,PERMCO,CUSIP,PRC,vwretx,ewretx,sprtrn
83435,20160711,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.96,0.004203,0.006821,0.003409
83435,20160712,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.89,0.007918,0.010654,0.007009
83435,20160713,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.64,-0.000321,-0.002653,0.000135
83435,20160714,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.96,0.004658,0.002005,0.005259
83435,20160715,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.72,-0.000803,0.001017,-0.000929
83435,20160718,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.95,0.002567,0.003134,0.002382
83435,20160719,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.17,-0.002378,-0.004779,-0.001435
83435,20160720,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.9,0.004528,0.006102,0.00427
83435,20160721,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.85,-0.003343,-0.00136,-0.003612
83435,20160722,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,39.38,0.004465,0.00451,0.004554
83435,20160725,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.32,-0.003166,-0.003708,-0.003011
83435,20160726,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.76,0.001593,0.004146,0.000323
83435,20160727,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.66,-0.001344,0.001809,-0.001199
83435,20160728,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.52,0.001539,-0.000161,0.001606
83435,20160729,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.19,0.002574,0.003065,0.001631
83435,20160801,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.8,-0.002287,-0.002278,-0.00127
83435,20160802,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.57,-0.007118,-0.008453,-0.006362
83435,20160803,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.39,0.004106,0.007069,0.003134
83435,20160804,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.92,0.000583,0.00236,0.000213
83435,20160805,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.99,0.008039,0.008378,0.008603
83435,20160808,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,39.24,0.000022,0.002402,-0.000907
83435,20160809,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,39.24,0.001029,0.000748,0.00039
83435,20160810,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,39.93,-0.002849,-0.004929,-0.002865
83435,20160811,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,41.27,0.00464,0.00497,0.004735
83435,20160812,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,42.94,-0.00055,0.000383,-0.000796
83435,20160815,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,42.67,0.003919,0.006934,0.002793
83435,20160816,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,42.49,-0.005615,-0.003759,-0.005479
83435,20160817,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,42.7,0.000826,-0.00151,0.001869
83435,20160818,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,42.9,0.003354,0.005707,0.0022
83435,20160819,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,43.02,-0.001928,-0.00158,-0.00144
83435,20160822,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,42.52,-0.000452,0.000279,-0.000563
83435,20160823,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,42.6,0.002792,0.004387,0.001952
83435,20160824,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,41.91,-0.00611,-0.007138,-0.00524
83435,20160825,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,42.03,-0.000662,-0.000033,-0.001365
83435,20160826,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,42.27,-0.001846,-0.001869,-0.001579
